vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,1,5,AB-72-AB-4999,Petrol,In Use
2,Owner_2,Driver_2,2,2,AB-79-AB-1263,Electric,Available
3,Owner_3,Driver_3,9,1,AB-76-AB-2858,Diesel,Under Maintenance
4,Owner_4,Driver_4,9,4,AB-40-AB-3477,Electric,In Use
5,Owner_5,Driver_5,3,1,AB-77-AB-5950,Diesel,Available
6,Owner_6,Driver_6,7,2,AB-63-AB-2782,Petrol,In Use
7,Owner_7,Driver_7,5,1,AB-70-AB-4358,Diesel,In Use
8,Owner_8,Driver_8,1,2,AB-38-AB-7634,Petrol,Under Maintenance
9,Owner_9,Driver_9,2,1,AB-28-AB-1084,Electric,In Use
10,Owner_10,Driver_10,5,3,AB-99-AB-9825,Petrol,In Use
11,Owner_11,Driver_11,8,2,AB-40-AB-8210,Electric,In Use
12,Owner_12,Driver_12,10,2,AB-67-AB-7230,Petrol,Under Maintenance
13,Owner_13,Driver_13,4,2,AB-30-AB-4255,Electric,Available
14,Owner_14,Driver_14,3,2,AB-53-AB-8324,Diesel,Available
15,Owner_15,Driver_15,1,3,AB-64-AB-9131,Petrol,Available
16,Owner_16,Driver_16,8,3,AB-54-AB-8409,Petrol,Under Maintenance
17,Owner_17,Driver_17,6,5,AB-44-AB-1271,Electric,In Use
18,Owner_18,Driver_18,1,2,AB-97-AB-1863,Petrol,Available
19,Owner_19,Driver_19,5,4,AB-15-AB-5045,Petrol,Under Maintenance
20,Owner_20,Driver_20,1,2,AB-17-AB-1705,Electric,In Use
21,Owner_21,Driver_21,9,5,AB-29-AB-5318,Diesel,In Use
22,Owner_22,Driver_22,2,1,AB-43-AB-4656,Electric,Available
23,Owner_23,Driver_23,8,5,AB-13-AB-7805,Petrol,In Use
24,Owner_24,Driver_24,8,3,AB-75-AB-8806,Electric,Available
25,Owner_25,Driver_25,2,1,AB-73-AB-4311,Electric,Available
26,Owner_26,Driver_26,3,3,AB-84-AB-4372,Diesel,Available
27,Owner_27,Driver_27,10,3,AB-22-AB-5039,Petrol,Under Maintenance
28,Owner_28,Driver_28,7,3,AB-51-AB-6081,Petrol,Under Maintenance
29,Owner_29,Driver_29,2,3,AB-76-AB-4814,Petrol,Under Maintenance
30,Owner_30,Driver_30,3,2,AB-73-AB-3099,Diesel,In Use
31,Owner_31,Driver_31,5,3,AB-44-AB-2777,Diesel,Available
32,Owner_32,Driver_32,2,4,AB-18-AB-4220,Electric,Available
33,Owner_33,Driver_33,2,3,AB-78-AB-6698,Diesel,Available
34,Owner_34,Driver_34,4,5,AB-84-AB-8496,Petrol,Under Maintenance
35,Owner_35,Driver_35,9,5,AB-57-AB-3083,Diesel,In Use
36,Owner_36,Driver_36,6,1,AB-75-AB-7516,Petrol,In Use
37,Owner_37,Driver_37,6,2,AB-13-AB-2670,Petrol,Available
38,Owner_38,Driver_38,10,1,AB-34-AB-8116,Diesel,Available
39,Owner_39,Driver_39,8,3,AB-62-AB-6512,Petrol,Under Maintenance
40,Owner_40,Driver_40,10,3,AB-79-AB-3519,Diesel,Under Maintenance
41,Owner_41,Driver_41,4,5,AB-67-AB-3556,Petrol,Under Maintenance
42,Owner_42,Driver_42,6,1,AB-46-AB-1734,Petrol,In Use
43,Owner_43,Driver_43,8,1,AB-17-AB-3441,Electric,In Use
44,Owner_44,Driver_44,8,4,AB-87-AB-5206,Electric,Available
45,Owner_45,Driver_45,5,2,AB-77-AB-4698,Electric,In Use
46,Owner_46,Driver_46,2,4,AB-95-AB-5746,Petrol,Available
47,Owner_47,Driver_47,2,2,AB-31-AB-9793,Petrol,Available
