driver_id,name,latitude,longitude,city_id,vehicle_id,operators_id,current_status,max_delivery_radius,pending_orders_count,availability_time
2,Driver_1,30.105629396033034,30.258327398559135,1,2,3,,,,
3,Driver_2,19.400595749991986,19.39693748354443,2,3,3,,,,
4,Driver_3,23.832181323005543,23.85710403492768,3,4,2,,,,
5,Driver_4,27.096500634528716,27.17516308808031,4,5,7,,,,
6,Driver_5,19.18646286676611,19.054176463079685,5,6,9,,,,
7,Driver_6,23.112411195483023,22.89406657352616,6,7,5,,,,
8,Driver_7,23.729679040904294,23.727239765238785,7,8,10,,,,
9,Driver_8,26.420629768940625,26.501761947863372,8,9,3,,,,
10,Driver_9,20.58560285851661,20.50367916338892,9,10,5,,,,
11,Driver_10,9.64992364002482,9.501622387673585,10,11,3,,,,
12,Driver_11,27.89852530352237,27.816298878875624,11,12,3,,,,
13,Driver_12,26.500791849749024,26.555363519153612,12,13,6,,,,
14,Driver_13,25.452413637027973,25.417511577619166,13,14,3,,,,
15,Driver_14,27.47241900119168,27.60969198851966,14,15,1,,,,
16,Driver_15,30.389420186144065,30.369359596270886,15,16,9,,,,
17,Driver_16,20.799984585168946,21.000941065847403,16,17,7,,,,
18,Driver_17,31.45431840100951,31.655300094610727,17,18,2,,,,
19,Driver_18,23.665073043459707,23.676598422233212,18,19,10,,,,
20,Driver_19,19.86195749353117,19.902776569322054,19,20,6,,,,
21,Driver_20,24.738155978983144,24.598972441038267,20,21,1,,,,
22,Driver_21,25.830263437525076,25.87648820450975,21,22,9,,,,
23,Driver_22,28.79397668107814,28.782725058696734,22,23,7,,,,
24,Driver_23,34.33537050269148,34.4589399137353,23,24,4,,,,
25,Driver_24,23.238621275104354,23.31631187480878,24,25,7,,,,
26,Driver_25,28.324486070868087,28.3628044310638,25,26,10,,,,
