city_id,name,center_latitude,center_longitude,radius,district,state,country,population,list_of_operators
1,Abohar,30.144533,74.19552,14.528386979141514,Abohar,Punjab,India,11521118,"[1, 2, 3, 4, 5, 9, 10]"
2,Adilabad,19.4,78.31,13.424873143542298,Adilabad,Telangana,India,2881912,"[3, 4, 5, 7, 8]"
3,Agartala,23.836049,91.279386,11.180595317969306,Agartala,Tripura,India,12508499,"[2, 4, 6, 9, 10]"
4,Agra,27.187935,78.003944,20.186414092425096,Agra,Uttar Pradesh,India,13455870,"[6, 7]"
5,Ahmadnagar,19.094571,74.738432,24.67437063292753,Ahmadnagar,Maharashtra,India,11719726,"[1, 4, 5, 6, 9, 10]"
6,Ahmedabad,23.025793,72.587265,20.217019660415687,Ahmedabad,Gujarat,India,1447990,"[2, 4, 5, 7]"
7,Aizawl  ,23.736701,92.714596,10.681823988300359,Aizawl  ,Mizoram,India,1083461,"[8, 10]"
8,Ajmer,26.452103,74.638667,21.93982636837095,Ajmer,Rajasthan,India,14667308,"[1, 2, 3, 5]"
9,Akola,20.709569,76.998103,28.139473749761507,Akola,Maharashtra,India,7235086,[5]
10,Alappuzha,9.494647,76.331108,18.92914361258218,Alappuzha,Kerala,India,10855817,"[1, 2, 3, 4, 6, 7, 8]"
11,Aligarh,27.881453,78.07464,10.892696851016467,Aligarh,Uttar Pradesh,India,6294499,"[3, 5, 9]"
12,Alipurduar,26.4835,89.522855,10.687166333977265,Alipurduar,West Bengal,India,7828800,"[1, 2, 4, 6, 7, 8, 9]"
13,Allahabad,25.44478,81.843217,11.226538289279604,Allahabad,Uttar Pradesh,India,12653387,"[3, 5]"
14,Alwar,27.566291,76.610202,27.44144443284107,Alwar,Rajasthan,India,14253806,"[1, 2, 3, 6, 7]"
15,Ambala,30.360993,76.797819,15.097999300553067,Ambala,Haryana,India,8738817,"[1, 5, 9]"
16,Amaravati,20.933272,77.75152,22.485514253632786,Amaravati,Maharashtra,India,4922154,"[6, 7]"
17,Amritsar,31.622337,74.875335,23.79933399855667,Amritsar,Punjab,India,12004298,"[2, 4]"
18,Asansol,23.683333,86.983333,12.212062960597889,Asansol,West Bengal,India,8022832,"[8, 10]"
19,Aurangabad,19.880943,75.346739,11.945410360037966,Aurangabad,Maharashtra,India,3510278,"[1, 6, 8, 10]"
20,Aurangabad,24.752037,84.374202,16.14675363660062,Aurangabad,Bihar,India,9517879,"[1, 2, 6, 7, 9]"
21,Bakshpur,25.894283,80.792104,14.500123883207628,Bakshpur,Uttar Pradesh,India,2406922,"[3, 9, 10]"
22,Bamanpuri,28.804495,79.040305,18.49867688241593,Bamanpuri,Uttar Pradesh,India,11142847,"[3, 7, 8, 9, 10]"
23,Baramula,34.209004,74.342853,27.105078083078517,Baramula,Jammu and Kashmir,India,10124279,"[1, 4, 6, 8]"
24,Barddhaman,23.255716,87.856906,23.534267678251155,Barddhaman,West Bengal,India,9053671,"[2, 4, 5, 7, 8, 9, 10]"
25,Bareilly,28.347023,79.421934,12.528939219960249,Bareilly,Uttar Pradesh,India,7900218,"[3, 8, 10]"
