id,name,weight_carrying_capacity,container_space_length,container_space_breadth,container_space_height
1,Vehicle_Type_1,928.06,2.62,4.59,9.31
2,Vehicle_Type_2,757.22,9.34,8.33,7.08
3,Vehicle_Type_3,531.98,9.54,1.13,1.02
4,Vehicle_Type_4,1465.27,5.42,5.56,4.43
5,Vehicle_Type_5,1226.74,7.71,3.42,2.29
6,Vehicle_Type_6,1039.0,5.72,4.3,8.34
7,Vehicle_Type_7,1270.75,5.01,1.81,9.09
8,Vehicle_Type_8,860.28,3.65,4.59,7.53
9,Vehicle_Type_9,1642.3,5.2,5.04,7.49
10,Vehicle_Type_10,1438.71,6.81,9.83,6.56
11,Vehicle_Type_11,1027.21,6.08,2.06,1.39
12,Vehicle_Type_12,742.35,4.65,7.57,5.01
13,Vehicle_Type_13,941.61,6.05,4.71,9.78
14,Vehicle_Type_14,1527.19,6.78,2.08,3.45
15,Vehicle_Type_15,1342.11,2.04,4.94,4.01
16,Vehicle_Type_16,1119.75,9.32,7.16,3.76
17,Vehicle_Type_17,1664.61,2.63,8.96,2.77
18,Vehicle_Type_18,1006.85,9.98,4.36,4.28
19,Vehicle_Type_19,1976.71,6.38,7.47,8.5
20,Vehicle_Type_20,1082.22,9.27,5.21,2.39
21,Vehicle_Type_21,1714.05,1.55,1.66,3.31
22,Vehicle_Type_22,945.02,6.46,1.8,9.86
23,Vehicle_Type_23,1638.8,4.69,7.0,1.64
24,Vehicle_Type_24,1316.17,5.91,9.63,8.43
25,Vehicle_Type_25,955.54,8.18,5.59,2.53
26,Vehicle_Type_26,824.39,6.14,4.81,8.94
27,Vehicle_Type_27,1868.73,1.14,4.93,5.22
28,Vehicle_Type_28,1112.46,2.42,1.46,2.69
29,Vehicle_Type_29,1274.28,5.62,9.84,6.02
30,Vehicle_Type_30,1884.79,6.98,5.09,5.83
31,Vehicle_Type_31,1712.87,9.71,1.94,4.79
32,Vehicle_Type_32,1213.25,9.63,6.81,2.27
33,Vehicle_Type_33,1091.4,5.31,6.86,5.77
34,Vehicle_Type_34,1104.48,6.05,8.96,5.55
35,Vehicle_Type_35,612.29,2.73,4.56,2.68
36,Vehicle_Type_36,1356.21,4.27,3.32,5.74
37,Vehicle_Type_37,823.51,2.16,2.55,6.98
38,Vehicle_Type_38,1188.37,9.19,3.3,5.1
39,Vehicle_Type_39,1526.66,3.62,3.61,7.99
40,Vehicle_Type_40,1972.75,2.17,9.91,4.16
41,Vehicle_Type_41,646.22,1.51,4.2,8.75
42,Vehicle_Type_42,842.1,1.39,7.61,6.84
43,Vehicle_Type_43,872.03,9.93,2.54,2.8
44,Vehicle_Type_44,1821.84,4.41,1.79,7.95
45,Vehicle_Type_45,1097.62,7.91,1.68,8.76
46,Vehicle_Type_46,1708.45,6.42,7.76,5.77
47,Vehicle_Type_47,1420.82,2.3,2.37,1.67
48,Vehicle_Type_48,1586.01,6.25,5.03,2.38
49,Vehicle_Type_49,1489.75,2.93,7.2,6.05
50,Vehicle_Type_50,1107.95,6.9,4.36,3.41
