Request_id,Customer_id,operators_id,Delivery_latitude,Delivery_longitude,Delivery_address,items_in_this_request,Request_placing_time
1,2,13,30.232148241263236,30.173378120455023,Address_1,"[(4, 15), (6, 13), (6, 19), (8, 1), (2, 16)]",2024-09-30 09:00:00
2,3,13,30.232148241263236,30.173378120455023,Address_2,"[(8, 4), (2, 3), (2, 11), (9, 12), (6, 14), (8, 13), (6, 12), (9, 15)]",2024-09-30 09:00:00
3,4,19,30.232148241263236,30.173378120455023,Address_3,"[(8, 16), (2, 5), (10, 17), (4, 3), (3, 4), (2, 19), (6, 9), (1, 18)]",2024-09-30 09:00:00
4,5,7,19.351113209929405,19.37748653164172,Address_4,"[(1, 16), (4, 20), (3, 4), (3, 3), (7, 20)]",2024-09-30 09:00:00
5,6,16,19.351113209929405,19.37748653164172,Address_5,"[(9, 9), (3, 1), (7, 5), (7, 16), (4, 13), (6, 9)]",2024-09-30 09:00:00
6,7,19,23.88364754830742,23.694555827750573,Address_6,"[(5, 13), (4, 19), (9, 13), (8, 1)]",2024-09-30 09:00:00
7,8,2,23.88364754830742,23.694555827750573,Address_7,"[(8, 1), (10, 4), (1, 13), (8, 16), (6, 6), (1, 1), (10, 18)]",2024-09-30 09:00:00
8,9,12,23.88364754830742,23.694555827750573,Address_8,"[(4, 20), (7, 16), (4, 18), (4, 2), (2, 11), (2, 11), (2, 14), (1, 12), (3, 10), (3, 15), (10, 2)]",2024-09-30 09:00:00
9,10,18,27.18434341120086,27.149318429725643,Address_9,"[(8, 17), (1, 1), (9, 17), (6, 1), (4, 6), (8, 16), (5, 20), (6, 3), (1, 1)]",2024-09-30 09:00:00
10,11,5,27.18434341120086,27.149318429725643,Address_10,"[(6, 11), (7, 12), (1, 11), (1, 5), (2, 6), (7, 7), (6, 8), (4, 13), (8, 13), (9, 10), (9, 2)]",2024-09-30 09:00:00
11,12,17,27.18434341120086,27.149318429725643,Address_11,"[(1, 2), (7, 4)]",2024-09-30 09:00:00
12,13,7,19.092424789181155,19.09857974755943,Address_12,"[(2, 7), (8, 3), (9, 3), (1, 13), (10, 10)]",2024-09-30 09:00:00
13,14,7,19.092424789181155,19.09857974755943,Address_13,"[(9, 19), (3, 1), (2, 3), (6, 1), (1, 7), (5, 4), (9, 4), (9, 16)]",2024-09-30 09:00:00
14,15,11,19.092424789181155,19.09857974755943,Address_14,"[(1, 20), (6, 7), (9, 14), (9, 20), (5, 10), (3, 12), (5, 18), (8, 1), (7, 7)]",2024-09-30 09:00:00
15,16,18,19.092424789181155,19.09857974755943,Address_15,"[(3, 19)]",2024-09-30 09:00:00
16,17,15,23.147746968521123,23.125444415623587,Address_16,"[(10, 18), (7, 7), (7, 20), (7, 20), (1, 6)]",2024-09-30 09:00:00
17,18,10,23.147746968521123,23.125444415623587,Address_17,"[(2, 13), (8, 6), (8, 6), (4, 16), (5, 5), (9, 5), (5, 10), (4, 7), (3, 10), (6, 1)]",2024-09-30 09:00:00
18,19,15,23.147746968521123,23.125444415623587,Address_18,"[(8, 19), (10, 9), (9, 17), (6, 17)]",2024-09-30 09:00:00
19,20,15,23.147746968521123,23.125444415623587,Address_19,"[(6, 8), (2, 16)]",2024-09-30 09:00:00
20,21,8,23.147746968521123,23.125444415623587,Address_20,"[(9, 10), (1, 17), (7, 5), (10, 7), (3, 2), (3, 14)]",2024-09-30 09:00:00
21,22,8,23.663846069141883,23.859757218534003,Address_21,"[(8, 3), (8, 8), (8, 20)]",2024-09-30 09:00:00
22,23,12,23.663846069141883,23.859757218534003,Address_22,"[(10, 1), (2, 9), (5, 2), (8, 3), (10, 17), (8, 11), (1, 13), (3, 6)]",2024-09-30 09:00:00
23,24,15,23.663846069141883,23.859757218534003,Address_23,"[(6, 18)]",2024-09-30 09:00:00
24,25,5,26.59164421691936,26.31913165478011,Address_24,"[(1, 3), (1, 17), (5, 11), (6, 13), (5, 18), (2, 3), (3, 3), (1, 7), (1, 13)]",2024-09-30 09:00:00
25,26,17,26.59164421691936,26.31913165478011,Address_25,"[(7, 18), (7, 5), (8, 18), (3, 17)]",2024-09-30 09:00:00
26,27,17,26.59164421691936,26.31913165478011,Address_26,"[(9, 14), (3, 4), (3, 5), (4, 6), (10, 20), (2, 1)]",2024-09-30 09:00:00
27,28,5,26.59164421691936,26.31913165478011,Address_27,"[(4, 2), (4, 6), (1, 9)]",2024-09-30 09:00:00
28,29,17,26.59164421691936,26.31913165478011,Address_28,"[(5, 17)]",2024-09-30 09:00:00
29,30,3,20.82156841307077,20.750814966950188,Address_29,"[(4, 6), (2, 16), (7, 5), (8, 3), (3, 15), (3, 17), (1, 6), (10, 15), (10, 12), (2, 15)]",2024-09-30 09:00:00
30,31,9,9.47924600340043,9.474763678498483,Address_30,"[(3, 13), (9, 9), (1, 17)]",2024-09-30 09:00:00
31,32,8,9.47924600340043,9.474763678498483,Address_31,"[(3, 15), (3, 2), (9, 18), (3, 12), (2, 14), (2, 2), (6, 5), (8, 13), (8, 18)]",2024-09-30 09:00:00
32,33,5,27.848731743297623,27.88413349673522,Address_32,"[(9, 1), (5, 19)]",2024-09-30 09:00:00
33,34,9,27.848731743297623,27.88413349673522,Address_33,"[(8, 15), (7, 1), (1, 19)]",2024-09-30 09:00:00
34,35,6,27.848731743297623,27.88413349673522,Address_34,"[(1, 6), (2, 8)]",2024-09-30 09:00:00
35,36,6,27.848731743297623,27.88413349673522,Address_35,"[(1, 3), (1, 17), (3, 3), (5, 8), (3, 16), (2, 6), (7, 17), (2, 2)]",2024-09-30 09:00:00
36,37,9,27.848731743297623,27.88413349673522,Address_36,"[(2, 7), (7, 5), (7, 18)]",2024-09-30 09:00:00
37,38,16,26.663470961650084,26.360437490061674,Address_37,"[(3, 5), (2, 17)]",2024-09-30 09:00:00
38,39,16,26.663470961650084,26.360437490061674,Address_38,"[(3, 6), (2, 14), (3, 6), (3, 15)]",2024-09-30 09:00:00
39,40,18,25.316174198941567,25.51244897592777,Address_39,"[(7, 13), (8, 1)]",2024-09-30 09:00:00
40,41,1,25.316174198941567,25.51244897592777,Address_40,"[(9, 2), (8, 18), (9, 16)]",2024-09-30 09:00:00
41,42,1,25.316174198941567,25.51244897592777,Address_41,"[(10, 19), (2, 16), (6, 17)]",2024-09-30 09:00:00
42,43,2,25.316174198941567,25.51244897592777,Address_42,"[(8, 3), (9, 7), (5, 8), (8, 13), (5, 16)]",2024-09-30 09:00:00
43,44,2,25.316174198941567,25.51244897592777,Address_43,"[(10, 3), (3, 8), (3, 3)]",2024-09-30 09:00:00
44,45,2,27.542969319525252,27.569081434418266,Address_44,"[(4, 11), (8, 15), (6, 14), (5, 13), (9, 15), (4, 20)]",2024-09-30 09:00:00
45,46,19,27.542969319525252,27.569081434418266,Address_45,"[(4, 16), (10, 11), (10, 15), (1, 5), (1, 11), (5, 13)]",2024-09-30 09:00:00
46,47,5,30.405078126290952,30.394835571597447,Address_46,"[(5, 8), (2, 5), (6, 13), (1, 3), (9, 1), (9, 18), (8, 10), (10, 1), (1, 18), (7, 3)]",2024-09-30 09:00:00
47,48,14,30.405078126290952,30.394835571597447,Address_47,"[(4, 2), (9, 6), (7, 9), (10, 19), (2, 7), (4, 5), (4, 11), (1, 19)]",2024-09-30 09:00:00
48,49,7,20.99637223308868,20.88559514642474,Address_48,"[(8, 2), (7, 2)]",2024-09-30 09:00:00
49,50,10,31.671418961808158,31.623652735709744,Address_49,"[(5, 4), (8, 9), (8, 12), (6, 12), (3, 4), (1, 14), (5, 15), (2, 5), (1, 2), (9, 17)]",2024-09-30 09:00:00
