vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,6,754,AB-16-AB-2793,Petrol,In Use
2,Owner_2,Driver_2,7,225,AB-89-AB-6117,Diesel,Available
3,Owner_3,Driver_3,3,523,AB-23-AB-2191,Electric,Under Maintenance
4,Owner_4,Driver_4,6,639,AB-52-AB-5199,Petrol,Available
5,Owner_5,Driver_5,10,798,AB-14-AB-6322,Electric,Available
6,Owner_6,Driver_6,2,368,AB-26-AB-1198,Diesel,Available
7,Owner_7,Driver_7,4,42,AB-10-AB-7448,Electric,Under Maintenance
8,Owner_8,Driver_8,6,858,AB-63-AB-1786,Petrol,In Use
9,Owner_9,Driver_9,5,749,AB-55-AB-6663,Petrol,Available
10,Owner_10,Driver_10,1,646,AB-25-AB-8940,Petrol,Available
11,Owner_11,Driver_11,3,417,AB-82-AB-5227,Diesel,Under Maintenance
12,Owner_12,Driver_12,1,712,AB-76-AB-1464,Electric,Available
13,Owner_13,Driver_13,10,41,AB-20-AB-9936,Petrol,In Use
14,Owner_14,Driver_14,8,606,AB-19-AB-5575,Diesel,Available
15,Owner_15,Driver_15,10,404,AB-57-AB-3495,Petrol,In Use
16,Owner_16,Driver_16,5,775,AB-25-AB-5877,Diesel,Available
17,Owner_17,Driver_17,5,410,AB-63-AB-7993,Petrol,Under Maintenance
18,Owner_18,Driver_18,7,170,AB-71-AB-3686,Diesel,Under Maintenance
19,Owner_19,Driver_19,10,895,AB-79-AB-4404,Electric,Under Maintenance
20,Owner_20,Driver_20,2,183,AB-71-AB-4401,Diesel,Under Maintenance
21,Owner_21,Driver_21,9,564,AB-22-AB-1521,Petrol,In Use
22,Owner_22,Driver_22,4,599,AB-12-AB-6705,Petrol,In Use
23,Owner_23,Driver_23,6,846,AB-20-AB-2057,Electric,Under Maintenance
24,Owner_24,Driver_24,6,698,AB-90-AB-8129,Diesel,Under Maintenance
25,Owner_25,Driver_25,4,72,AB-29-AB-6161,Electric,Under Maintenance
26,Owner_26,Driver_26,6,185,AB-38-AB-6355,Petrol,Available
27,Owner_27,Driver_27,2,984,AB-26-AB-6165,Petrol,In Use
28,Owner_28,Driver_28,9,638,AB-58-AB-2392,Petrol,Available
29,Owner_29,Driver_29,10,575,AB-15-AB-6841,Diesel,Available
30,Owner_30,Driver_30,6,12,AB-95-AB-8236,Electric,Under Maintenance
31,Owner_31,Driver_31,5,579,AB-16-AB-4290,Electric,Available
32,Owner_32,Driver_32,7,680,AB-69-AB-1506,Petrol,In Use
33,Owner_33,Driver_33,6,444,AB-99-AB-8930,Electric,In Use
34,Owner_34,Driver_34,1,146,AB-50-AB-7008,Electric,Under Maintenance
35,Owner_35,Driver_35,1,411,AB-94-AB-2962,Diesel,Under Maintenance
36,Owner_36,Driver_36,7,273,AB-88-AB-6327,Diesel,Under Maintenance
37,Owner_37,Driver_37,7,786,AB-15-AB-7007,Electric,Under Maintenance
38,Owner_38,Driver_38,5,875,AB-33-AB-7820,Diesel,Available
39,Owner_39,Driver_39,8,907,AB-65-AB-8444,Petrol,Available
40,Owner_40,Driver_40,7,469,AB-17-AB-1375,Diesel,In Use
41,Owner_41,Driver_41,2,311,AB-31-AB-2128,Petrol,In Use
42,Owner_42,Driver_42,4,68,AB-16-AB-6824,Diesel,In Use
43,Owner_43,Driver_43,5,605,AB-62-AB-8723,Electric,In Use
44,Owner_44,Driver_44,6,623,AB-66-AB-5780,Petrol,In Use
45,Owner_45,Driver_45,8,217,AB-69-AB-7968,Petrol,In Use
46,Owner_46,Driver_46,8,199,AB-66-AB-3107,Electric,Available
47,Owner_47,Driver_47,9,257,AB-76-AB-8820,Electric,Available
48,Owner_48,Driver_48,10,374,AB-44-AB-5545,Electric,Under Maintenance
49,Owner_49,Driver_49,9,585,AB-42-AB-4080,Electric,Under Maintenance
50,Owner_50,Driver_50,2,264,AB-21-AB-8990,Electric,Available
