driver_id,name,latitude,longitude,city_id,vehicle_id,operators_id,current_status,max_delivery_radius,pending_orders_count,availability_time
1,Driver_1,30.17703764904519,74.20626473789933,1,1,5,,,,
2,Driver_2,30.16363716377144,74.19253983285356,1,2,12,,,,
3,Driver_3,30.15593179920383,74.18729561115944,1,3,12,,,,
4,Driver_4,30.201077912979095,74.44048456154873,1,4,7,,,,
5,Driver_5,30.373483067189085,74.14187467558875,1,5,4,,,,
6,Driver_6,30.043875385412758,74.0576470701887,1,6,12,,,,
7,Driver_7,30.129596505996737,74.31511176679201,1,7,7,,,,
8,Driver_8,30.239292001053727,74.13250296618517,1,8,4,,,,
9,Driver_9,30.03633529581595,74.17830355166103,1,9,4,,,,
10,Driver_10,30.129956538581485,74.23717174715759,1,10,12,,,,
11,Driver_11,30.126933834723484,74.23993623953338,1,11,2,,,,
12,Driver_12,29.912402689551445,74.1380083915188,1,12,4,,,,
13,Driver_13,30.23693999723994,74.0580241165661,1,13,5,,,,
14,Driver_14,30.03127942897378,74.16095400509201,1,14,4,,,,
15,Driver_15,30.142979884681584,74.1944811058392,1,15,5,,,,
16,Driver_16,30.109786670902416,74.30130285156594,1,16,5,,,,
17,Driver_17,30.159797963524518,74.21814231415573,1,17,5,,,,
18,Driver_18,30.097828030356446,74.21047557302647,1,18,5,,,,
19,Driver_19,30.25054349901061,74.339024183558,1,19,2,,,,
20,Driver_20,29.976790218681433,74.30758981251255,1,20,7,,,,
21,Driver_21,30.323171379692255,74.15977224470377,1,21,2,,,,
22,Driver_22,30.33145656419194,74.29668243328611,1,22,5,,,,
23,Driver_23,30.326707513928138,74.37048547138484,1,23,5,,,,
24,Driver_24,30.124812341902366,74.20799708748639,1,24,12,,,,
25,Driver_25,30.040771089786304,73.94915334500169,1,25,4,,,,
26,Driver_26,30.143791100626306,74.18841153190587,1,26,2,,,,
27,Driver_27,30.135564954579742,74.13346845026554,1,27,2,,,,
28,Driver_28,30.167552724223498,74.2072639234737,1,28,2,,,,
29,Driver_29,30.089688346640866,74.18402459399432,1,29,5,,,,
30,Driver_30,30.060532776984527,74.25602876410318,1,30,5,,,,
31,Driver_31,30.27475278178211,74.1175844237448,1,31,2,,,,
32,Driver_32,30.163833480894287,74.27374057025149,1,32,2,,,,
33,Driver_33,30.066877562007928,74.16446307653534,1,33,5,,,,
34,Driver_34,30.247000771289642,74.2208550038322,1,34,2,,,,
35,Driver_35,30.009401430051916,74.38477267385318,1,35,12,,,,
36,Driver_36,30.185982462712957,74.33883507557222,1,36,4,,,,
37,Driver_37,30.118135012301202,74.1914975788196,1,37,4,,,,
38,Driver_38,30.156171877027955,74.371394941871,1,38,12,,,,
39,Driver_39,30.124066661857043,74.16006677964592,1,39,7,,,,
40,Driver_40,29.967915864388246,74.15773952473786,1,40,2,,,,
41,Driver_41,30.141288733944023,74.08731050721927,1,41,5,,,,
42,Driver_42,30.109345554768705,74.18983836054812,1,42,2,,,,
43,Driver_43,30.141121791174452,74.20474868013872,1,43,12,,,,
44,Driver_44,30.114367218060554,74.1316237304216,1,44,4,,,,
45,Driver_45,29.975611743179492,74.1807494031925,1,45,7,,,,
46,Driver_46,30.17594937436285,74.25533135668665,1,46,4,,,,
47,Driver_47,30.191555038251877,74.33008666543425,1,47,5,,,,
48,Driver_48,30.139840728067846,74.20165856050602,1,48,4,,,,
