id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
1,"[1, 2, 3, 4, 5]","[65, 44, 91, 79, 21]",300,1,1,1
2,"[1, 2, 3, 4, 5]","[90, 52, 11, 89, 46]",288,2,1,1
3,"[1, 2, 3, 4, 5]","[49, 92, 94, 16, 47]",298,3,1,1
4,"[1, 2, 3, 4, 5]","[18, 43, 44, 11, 15]",131,4,1,1
5,"[1, 2, 3, 4, 5]","[25, 20, 64, 95, 63]",267,5,1,1
6,"[1, 2, 3, 4, 5]","[11, 53, 79, 40, 91]",274,6,1,1
7,"[1, 2, 3, 4, 5]","[64, 64, 11, 34, 10]",183,7,1,1
8,"[1, 2, 3, 4, 5]","[10, 44, 20, 13, 40]",127,8,1,1
9,"[1, 2, 3, 4, 5]","[97, 79, 85, 100, 41]",402,9,1,1
10,"[1, 2, 3, 4, 5]","[42, 26, 19, 65, 62]",214,10,1,1
11,"[1, 2, 3, 4, 5]","[87, 50, 55, 70, 72]",334,11,1,2
12,"[1, 2, 3, 4, 5]","[68, 54, 98, 30, 94]",344,12,1,2
13,"[1, 2, 3, 4, 5]","[63, 41, 23, 94, 85]",306,13,1,2
14,"[1, 2, 3, 4, 5]","[65, 76, 47, 34, 61]",283,14,1,2
15,"[1, 2, 3, 4, 5]","[13, 73, 88, 44, 78]",296,15,1,2
16,"[1, 2, 3, 4, 5]","[82, 27, 96, 16, 92]",313,16,1,2
17,"[1, 2, 3, 4, 5]","[64, 57, 79, 33, 13]",246,17,1,2
18,"[1, 2, 3, 4, 5]","[67, 29, 60, 66, 65]",287,18,1,2
19,"[1, 2, 3, 4, 5]","[63, 18, 76, 44, 71]",272,19,1,2
20,"[1, 2, 3, 4, 5]","[12, 55, 88, 34, 19]",208,20,1,2
21,"[1, 2, 3, 4, 5]","[22, 79, 53, 13, 59]",226,21,1,3
22,"[1, 2, 3, 4, 5]","[40, 88, 54, 28, 36]",246,22,1,3
23,"[1, 2, 3, 4, 5]","[77, 79, 76, 79, 53]",364,23,1,3
24,"[1, 2, 3, 4, 5]","[93, 17, 72, 90, 80]",352,24,1,3
25,"[1, 2, 3, 4, 5]","[93, 18, 44, 76, 66]",297,25,1,3
26,"[1, 2, 3, 4, 5]","[79, 90, 35, 52, 90]",346,26,1,3
27,"[1, 2, 3, 4, 5]","[98, 33, 79, 53, 12]",275,27,1,3
28,"[1, 2, 3, 4, 5]","[36, 99, 89, 35, 70]",329,28,1,3
29,"[1, 2, 3, 4, 5]","[78, 62, 31, 75, 71]",317,29,1,3
30,"[1, 2, 3, 4, 5]","[86, 37, 22, 12, 20]",177,30,1,3
31,"[1, 2, 3, 4, 5]","[44, 57, 93, 100, 35]",329,31,1,4
32,"[1, 2, 3, 4, 5]","[72, 65, 56, 80, 28]",301,32,1,4
33,"[1, 2, 3, 4, 5]","[41, 88, 19, 76, 27]",251,33,1,4
34,"[1, 2, 3, 4, 5]","[41, 79, 32, 87, 68]",307,34,1,4
35,"[1, 2, 3, 4, 5]","[27, 68, 57, 42, 65]",259,35,1,4
36,"[1, 2, 3, 4, 5]","[47, 44, 52, 84, 23]",250,36,1,4
37,"[1, 2, 3, 4, 5]","[88, 67, 64, 76, 58]",353,37,1,4
38,"[1, 2, 3, 4, 5]","[64, 64, 29, 37, 40]",234,38,1,4
39,"[1, 2, 3, 4, 5]","[56, 26, 55, 68, 94]",299,39,1,4
40,"[1, 2, 3, 4, 5]","[43, 100, 91, 99, 43]",376,40,1,4
41,"[1, 2, 3, 4, 5]","[57, 27, 14, 45, 27]",170,41,1,5
42,"[1, 2, 3, 4, 5]","[31, 40, 20, 92, 89]",272,42,1,5
43,"[1, 2, 3, 4, 5]","[80, 74, 23, 88, 98]",363,43,1,5
44,"[1, 2, 3, 4, 5]","[75, 86, 100, 18, 89]",368,44,1,5
45,"[1, 2, 3, 4, 5]","[39, 85, 73, 32, 14]",243,45,1,5
46,"[1, 2, 3, 4, 5]","[68, 16, 96, 12, 71]",263,46,1,5
47,"[1, 2, 3, 4, 5]","[12, 94, 24, 91, 27]",248,47,1,5
48,"[1, 2, 3, 4, 5]","[48, 57, 36, 68, 19]",228,48,1,5
49,"[1, 2, 3, 4, 5]","[82, 32, 15, 58, 22]",209,49,1,5
50,"[1, 2, 3, 4, 5]","[91, 51, 60, 95, 57]",354,50,1,5
51,"[1, 2, 3, 4, 5]","[48, 43, 48, 63, 31]",233,51,1,6
52,"[1, 2, 3, 4, 5]","[96, 90, 40, 99, 95]",420,52,1,6
53,"[1, 2, 3, 4, 5]","[54, 97, 24, 99, 60]",334,53,1,6
54,"[1, 2, 3, 4, 5]","[70, 54, 15, 18, 82]",239,54,1,6
55,"[1, 2, 3, 4, 5]","[88, 99, 37, 63, 30]",317,55,1,6
56,"[1, 2, 3, 4, 5]","[88, 98, 29, 57, 16]",288,56,1,6
