city_id,name,center_latitude,center_longitude,radius,district,state,country,population,list_of_companies,list_of_operators
1,Abohar,30.144533,74.19552,29.73681288119922,Abohar,Punjab,India,6220356,"[2, 5, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
2,Adilabad,19.4,78.31,16.69476163104201,Adilabad,Telangana,India,12382755,"[3, 8, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
3,Agartala,23.836049,91.279386,24.755847305965258,Agartala,Tripura,India,13469010,"[5, 6, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
4,Agra,27.187935,78.003944,18.363304626363224,Agra,Uttar Pradesh,India,5421055,"[1, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
5,Ahmadnagar,19.094571,74.738432,21.933333467359503,Ahmadnagar,Maharashtra,India,5653068,"[1, 2, 6, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
6,Ahmedabad,23.025793,72.587265,15.145284318847958,Ahmedabad,Gujarat,India,11055200,"[3, 5, 7, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
7,Aizawl  ,23.736701,92.714596,18.92583425254052,Aizawl  ,Mizoram,India,3447599,"[1, 3, 4]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
8,Ajmer,26.452103,74.638667,19.2685635076407,Ajmer,Rajasthan,India,7256667,"[1, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
9,Akola,20.709569,76.998103,22.05117121808706,Akola,Maharashtra,India,2285165,"[1, 4, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
10,Alappuzha,9.494647,76.331108,13.722737503897227,Alappuzha,Kerala,India,8398562,"[1, 2, 4, 5, 7, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
11,Aligarh,27.881453,78.07464,12.268244106400385,Aligarh,Uttar Pradesh,India,7472929,"[2, 3, 4, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
12,Alipurduar,26.4835,89.522855,12.022639590943257,Alipurduar,West Bengal,India,6279541,"[1, 2, 4, 5, 6, 7, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
13,Allahabad,25.44478,81.843217,18.378430998269316,Allahabad,Uttar Pradesh,India,3601736,"[2, 3, 4, 5, 6, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
14,Alwar,27.566291,76.610202,23.668901474407186,Alwar,Rajasthan,India,8165033,"[1, 2, 4, 5, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
15,Ambala,30.360993,76.797819,21.126996128507542,Ambala,Haryana,India,8056555,"[6, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
16,Amaravati,20.933272,77.75152,15.751098583401388,Amaravati,Maharashtra,India,5254563,"[6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
17,Amritsar,31.622337,74.875335,11.968977693640912,Amritsar,Punjab,India,10623324,"[2, 6, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
18,Asansol,23.683333,86.983333,10.937476025486344,Asansol,West Bengal,India,13343162,"[3, 8]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
19,Aurangabad,19.880943,75.346739,15.190935778402919,Aurangabad,Maharashtra,India,1936253,"[4, 5, 7, 8, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
20,Aurangabad,24.752037,84.374202,20.169658763034978,Aurangabad,Bihar,India,13437832,"[2, 3, 5, 6, 7, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
21,Bakshpur,25.894283,80.792104,14.4060778986527,Bakshpur,Uttar Pradesh,India,11087798,[9],"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
22,Bamanpuri,28.804495,79.040305,28.15949683100326,Bamanpuri,Uttar Pradesh,India,7695882,"[3, 6, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23,Baramula,34.209004,74.342853,21.023836494480776,Baramula,Jammu and Kashmir,India,13591812,"[1, 3, 4, 8, 10]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
24,Barddhaman,23.255716,87.856906,10.611650695281082,Barddhaman,West Bengal,India,6879851,"[1, 2, 3, 7]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
25,Bareilly,28.347023,79.421934,15.927231772974562,Bareilly,Uttar Pradesh,India,4514921,"[4, 5, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
