store_id,operator_id,city_id,location_latitude,location_longitude,contact_email,contact_mobile,start_time,end_time,inventory_capacity
1,1,27,14.971382653688693,76.80354870374765,store1@bellary.com,9425668639,2024-10-02 09:00:00,2024-10-02 21:00:00,1409
2,1,27,15.148559720212004,76.97218203834605,store2@bellary.com,9771701487,2024-10-02 09:00:00,2024-10-02 21:00:00,4972
3,1,27,15.025513728030061,76.90893785467907,store3@bellary.com,9593807509,2024-10-02 09:00:00,2024-10-02 21:00:00,1926
4,1,27,15.051671145354634,76.92038060250265,store4@bellary.com,9532038530,2024-10-02 09:00:00,2024-10-02 21:00:00,2789
5,1,27,15.2274538147595,76.88784076648051,store5@bellary.com,9652465048,2024-10-02 09:00:00,2024-10-02 21:00:00,4422
6,1,27,15.10160212150163,76.92306441788254,store6@bellary.com,9746607823,2024-10-02 09:00:00,2024-10-02 21:00:00,2889
7,1,27,14.938414382974893,76.81769409346008,store7@bellary.com,9920531380,2024-10-02 09:00:00,2024-10-02 21:00:00,2623
8,1,27,15.277467089638524,77.05484884940628,store8@bellary.com,9189208932,2024-10-02 09:00:00,2024-10-02 21:00:00,4294
9,1,27,15.327343413204277,76.8438930401592,store9@bellary.com,9821201144,2024-10-02 09:00:00,2024-10-02 21:00:00,4949
10,1,27,15.325103374556095,77.00565291145195,store10@bellary.com,9440397897,2024-10-02 09:00:00,2024-10-02 21:00:00,2777
11,1,11,27.912801927382596,77.9737504353905,store11@aligarh.com,9307918580,2024-10-02 09:00:00,2024-10-02 21:00:00,1452
12,1,11,27.777680662714314,77.9875883595955,store12@aligarh.com,9208943262,2024-10-02 09:00:00,2024-10-02 21:00:00,2749
13,1,11,28.07351314550923,78.09763909505854,store13@aligarh.com,9528782401,2024-10-02 09:00:00,2024-10-02 21:00:00,2245
14,1,11,27.82476764358517,78.092999997674,store14@aligarh.com,9891412381,2024-10-02 09:00:00,2024-10-02 21:00:00,2859
15,1,11,27.95762926156093,78.03682413452427,store15@aligarh.com,9666267257,2024-10-02 09:00:00,2024-10-02 21:00:00,3040
16,1,11,27.753312193080237,77.8502444210274,store16@aligarh.com,9681881832,2024-10-02 09:00:00,2024-10-02 21:00:00,2796
