Store_id,Operator_id,City_id,Location_latitude,Location_longitude,Contact_email,Contact_mobile,Operating_Hours,Inventory_capacity
1,7,1,19.076463580177847,72.87273495636832,store1@mumbai.com,9697402031,9 AM - 9 PM,86
2,7,1,19.145920416871373,72.90898599072668,store2@mumbai.com,9069668218,9 AM - 9 PM,248
3,7,1,19.04622528457726,72.92893202132562,store3@mumbai.com,9974926694,9 AM - 9 PM,332
4,7,1,19.06417024908753,72.79400558643425,store4@mumbai.com,9530894586,9 AM - 9 PM,239
5,7,1,19.062797328965868,72.8423957753691,store5@mumbai.com,9062473197,9 AM - 9 PM,309
6,7,1,19.076276577375253,72.88418225640332,store6@mumbai.com,9463233143,9 AM - 9 PM,165
7,7,1,19.10824440458472,72.88562159157708,store7@mumbai.com,9965866463,9 AM - 9 PM,103
8,7,1,19.064521303786783,72.95189495701287,store8@mumbai.com,9950141662,9 AM - 9 PM,323
9,7,1,19.050451936480602,72.8729958439062,store9@mumbai.com,9108304210,9 AM - 9 PM,499
10,7,1,19.103163351296793,72.83356551197744,store10@mumbai.com,9112430429,9 AM - 9 PM,473
11,7,1,19.085646091077248,72.88228665242256,store11@mumbai.com,9106304989,9 AM - 9 PM,276
12,7,1,18.997467383421544,72.92413602186294,store12@mumbai.com,9348270727,9 AM - 9 PM,66
13,7,1,19.086639370713215,72.97058346959537,store13@mumbai.com,9924164601,9 AM - 9 PM,398
14,7,1,19.083477808061378,72.8986755205711,store14@mumbai.com,9202676289,9 AM - 9 PM,330
15,7,1,19.03267399598048,72.93503550916068,store15@mumbai.com,9787895586,9 AM - 9 PM,159
16,7,1,19.074626068348604,72.8383563021077,store16@mumbai.com,9851224807,9 AM - 9 PM,94
17,7,1,19.07590932460651,72.87273781694678,store17@mumbai.com,9873522320,9 AM - 9 PM,195
18,7,1,19.125974704615558,72.89720918533418,store18@mumbai.com,9612919702,9 AM - 9 PM,496
19,7,1,19.16376819908289,72.89588680342163,store19@mumbai.com,9872287100,9 AM - 9 PM,318
20,7,1,19.03178423578878,72.8102573672086,store20@mumbai.com,9742130534,9 AM - 9 PM,81
21,7,1,19.03717214651185,72.82875696400868,store21@mumbai.com,9310451532,9 AM - 9 PM,288
22,7,1,19.01124425792779,72.86346134065353,store22@mumbai.com,9594339750,9 AM - 9 PM,389
23,7,1,19.028353010213667,72.85202622512526,store23@mumbai.com,9862278274,9 AM - 9 PM,497
24,7,1,19.078206549884904,72.8778810128835,store24@mumbai.com,9310728416,9 AM - 9 PM,260
25,7,1,19.067124946026453,72.8402878274563,store25@mumbai.com,9131071618,9 AM - 9 PM,220
26,7,1,19.080813956669914,72.88454904425568,store26@mumbai.com,9964623397,9 AM - 9 PM,288
27,7,1,19.0509194217423,72.89469222717538,store27@mumbai.com,9698152211,9 AM - 9 PM,332
28,7,1,19.12832854599833,72.82134008748896,store28@mumbai.com,9402887299,9 AM - 9 PM,491
29,7,1,19.0485347971764,72.82294244026781,store29@mumbai.com,9674042697,9 AM - 9 PM,138
30,7,1,19.124280282786042,72.818243763966,store30@mumbai.com,9686258828,9 AM - 9 PM,91
31,7,1,19.15776105370674,72.85254095095283,store31@mumbai.com,9220365588,9 AM - 9 PM,89
32,7,1,19.09628833133252,72.87852630475263,store32@mumbai.com,9907115382,9 AM - 9 PM,219
33,7,1,19.069061745021788,72.87468357497325,store33@mumbai.com,9775133956,9 AM - 9 PM,253
34,7,1,19.065249406110087,72.88276553580562,store34@mumbai.com,9055894452,9 AM - 9 PM,119
35,7,1,19.071589576548046,72.92960763551076,store35@mumbai.com,9009780871,9 AM - 9 PM,339
36,7,1,19.108441643170917,72.90481094440408,store36@mumbai.com,9571472018,9 AM - 9 PM,188
37,7,1,19.13584037363107,72.86648078463436,store37@mumbai.com,9814356681,9 AM - 9 PM,77
38,7,1,19.081265027550742,72.91850049040058,store38@mumbai.com,9941877722,9 AM - 9 PM,361
39,7,1,19.05819839956242,72.91299749141612,store39@mumbai.com,9525838699,9 AM - 9 PM,116
40,7,1,19.09299438608174,72.86824940307935,store40@mumbai.com,9250483953,9 AM - 9 PM,231
41,7,1,19.105462178159147,72.80748340574407,store41@mumbai.com,9089634934,9 AM - 9 PM,441
42,7,1,19.078550954872846,72.88024872969024,store42@mumbai.com,9622572160,9 AM - 9 PM,263
43,7,1,19.05332015088108,72.87509999323947,store43@mumbai.com,9729738664,9 AM - 9 PM,223
44,7,1,19.11587940753046,72.93130576304895,store44@mumbai.com,9893673860,9 AM - 9 PM,270
45,7,1,19.05530013360055,72.87252050031236,store45@mumbai.com,9867408356,9 AM - 9 PM,151
46,7,1,19.030921483317016,72.93334833282118,store46@mumbai.com,9177132731,9 AM - 9 PM,67
47,7,1,19.043631393163842,72.87716843918956,store47@mumbai.com,9004751863,9 AM - 9 PM,260
48,7,1,19.074928452419012,72.88571986694515,store48@mumbai.com,9132540170,9 AM - 9 PM,287
49,7,1,19.064041467418743,72.87998745135148,store49@mumbai.com,9497459884,9 AM - 9 PM,193
50,7,1,19.144762179712405,72.92840224952745,store50@mumbai.com,9662225957,9 AM - 9 PM,160
51,7,1,19.12781201660942,72.85134253438146,store51@mumbai.com,9035139112,9 AM - 9 PM,400
52,7,1,19.072283957059543,72.93402014638872,store52@mumbai.com,9248994884,9 AM - 9 PM,444
53,7,1,19.083504164234935,72.93019642917625,store53@mumbai.com,9852829558,9 AM - 9 PM,90
54,7,1,19.046122411376707,72.82203877454982,store54@mumbai.com,9744313266,9 AM - 9 PM,289
55,7,1,19.02278313264564,72.88664867879811,store55@mumbai.com,9832356234,9 AM - 9 PM,303
56,7,1,19.03342565159902,72.8601505017373,store56@mumbai.com,9704163640,9 AM - 9 PM,317
57,7,1,19.0748044241018,72.88377839892614,store57@mumbai.com,9042352959,9 AM - 9 PM,428
58,7,1,19.135287154321126,72.87058886476835,store58@mumbai.com,9307116686,9 AM - 9 PM,100
59,7,1,19.0795332164107,72.86979005928605,store59@mumbai.com,9469901138,9 AM - 9 PM,473
