city_id,name,center_latitude,center_longitude,radius,district,state,country,population,list_of_operators
1,Abohar,30.144533,74.19552,29.0111726394746,Abohar,Punjab,India,12752710,"[4, 6, 7, 10]"
2,Adilabad,19.4,78.31,24.87296597658444,Adilabad,Telangana,India,10351092,"[1, 2, 3, 5, 6, 10]"
3,Agartala,23.836049,91.279386,19.085574664049474,Agartala,Tripura,India,7691700,[4]
4,Agra,27.187935,78.003944,10.71892940657756,Agra,Uttar Pradesh,India,4319271,"[1, 2, 7, 9]"
5,Ahmadnagar,19.094571,74.738432,29.645313288460684,Ahmadnagar,Maharashtra,India,13394722,"[3, 5, 7, 9, 10]"
6,Ahmedabad,23.025793,72.587265,23.05586196770079,Ahmedabad,Gujarat,India,7017088,"[3, 4, 10]"
7,Aizawl  ,23.736701,92.714596,23.439470893581145,Aizawl  ,Mizoram,India,12232345,"[3, 4, 5, 10]"
8,Ajmer,26.452103,74.638667,14.002228302494244,Ajmer,Rajasthan,India,14183534,[4]
9,Akola,20.709569,76.998103,21.042879852466776,Akola,Maharashtra,India,13697149,"[1, 3, 4, 5, 6, 9]"
10,Alappuzha,9.494647,76.331108,22.748981177627417,Alappuzha,Kerala,India,5251940,[1]
11,Aligarh,27.881453,78.07464,15.171201083517287,Aligarh,Uttar Pradesh,India,5908522,"[1, 6, 7, 8]"
12,Alipurduar,26.4835,89.522855,18.7322891787297,Alipurduar,West Bengal,India,6172320,"[1, 3, 5, 6, 7, 8, 10]"
13,Allahabad,25.44478,81.843217,22.0528974612158,Allahabad,Uttar Pradesh,India,5183462,"[1, 2, 5, 8]"
14,Alwar,27.566291,76.610202,24.433231557667824,Alwar,Rajasthan,India,10473891,[9]
15,Ambala,30.360993,76.797819,24.029147706749605,Ambala,Haryana,India,14830474,"[3, 4, 5, 8, 9, 10]"
16,Amaravati,20.933272,77.75152,25.379018806357607,Amaravati,Maharashtra,India,12690802,"[2, 3, 6, 7]"
17,Amritsar,31.622337,74.875335,18.112661663150817,Amritsar,Punjab,India,10618712,"[2, 4, 7, 8, 10]"
18,Asansol,23.683333,86.983333,29.947241049574686,Asansol,West Bengal,India,3137501,"[2, 8]"
19,Aurangabad,19.880943,75.346739,29.875551329437325,Aurangabad,Maharashtra,India,5387203,"[1, 2, 7, 9]"
20,Aurangabad,24.752037,84.374202,11.423599797516458,Aurangabad,Bihar,India,6756417,"[4, 7, 8, 9]"
21,Bakshpur,25.894283,80.792104,20.093694241444545,Bakshpur,Uttar Pradesh,India,6583657,"[2, 3, 5, 6, 8]"
22,Bamanpuri,28.804495,79.040305,24.116469145381828,Bamanpuri,Uttar Pradesh,India,3267694,"[4, 6, 9]"
23,Baramula,34.209004,74.342853,24.8874469517224,Baramula,Jammu and Kashmir,India,14605158,"[1, 2, 5, 6, 8, 10]"
24,Barddhaman,23.255716,87.856906,11.942266786838081,Barddhaman,West Bengal,India,2906754,"[1, 2, 3, 5, 6, 9, 10]"
25,Bareilly,28.347023,79.421934,26.534612355342016,Bareilly,Uttar Pradesh,India,2639594,"[7, 8, 9]"
