store_id,operator_id,city_id,location_latitude,location_longitude,contact_email,contact_mobile,start_time,end_time,list_of_items,inventory_capacity
1,1,1,30.158612607421674,74.37719604820838,store1@abohar.com,9621696751,2024-11-04 09:00:00,2024-11-04 21:00:00,[],454.81139189216617
2,1,1,30.120368361623026,74.24087639697896,store2@abohar.com,9123016804,2024-11-04 09:00:00,2024-11-04 21:00:00,[],262.3712124216062
3,1,1,30.003184299688503,74.05491089931253,store3@abohar.com,9336646307,2024-11-04 09:00:00,2024-11-04 21:00:00,[],280.78961604259075
4,1,1,30.149721390705988,74.27273813474463,store4@abohar.com,9417058211,2024-11-04 09:00:00,2024-11-04 21:00:00,[],329.99167814282816
5,1,1,30.081459356057657,74.12467608200986,store5@abohar.com,9721425157,2024-11-04 09:00:00,2024-11-04 21:00:00,[],207.96292266060436
6,1,1,30.223300492298243,74.01512489110983,store6@abohar.com,9998060943,2024-11-04 09:00:00,2024-11-04 21:00:00,[],337.2425500251884
7,1,1,30.189914275067235,74.0794866118348,store7@abohar.com,9183056725,2024-11-04 09:00:00,2024-11-04 21:00:00,[],113.30569350238147
8,1,1,30.297851785756926,74.39344130061437,store8@abohar.com,9056560257,2024-11-04 09:00:00,2024-11-04 21:00:00,[],291.27474768954374
9,1,1,30.13294659562259,74.22914620604125,store9@abohar.com,9122586128,2024-11-04 09:00:00,2024-11-04 21:00:00,[],317.2209859443583
10,1,1,30.232339758283295,74.0027221764748,store10@abohar.com,9844357900,2024-11-04 09:00:00,2024-11-04 21:00:00,[],168.81519752813392
11,1,2,19.56445374661341,78.30343767343969,store11@adilabad.com,9656669447,2024-11-04 09:00:00,2024-11-04 21:00:00,[],459.4794369558294
12,1,2,19.33058001728688,78.47825361728155,store12@adilabad.com,9602649791,2024-11-04 09:00:00,2024-11-04 21:00:00,[],447.20770866183636
13,1,2,19.47300635072504,78.38775030565053,store13@adilabad.com,9180811689,2024-11-04 09:00:00,2024-11-04 21:00:00,[],273.1675853017777
14,1,2,19.398041528363915,78.30746790587602,store14@adilabad.com,9159324113,2024-11-04 09:00:00,2024-11-04 21:00:00,[],378.25135758294215
15,1,2,19.53344352333499,78.29285350646785,store15@adilabad.com,9013659171,2024-11-04 09:00:00,2024-11-04 21:00:00,[],298.8079541906062
16,1,2,19.40092564545098,78.28491929611825,store16@adilabad.com,9919325309,2024-11-04 09:00:00,2024-11-04 21:00:00,[],351.9434033147274
17,1,2,19.324077529491714,78.35792890742455,store17@adilabad.com,9749881668,2024-11-04 09:00:00,2024-11-04 21:00:00,[],354.1002862279964
18,1,2,19.355290923917913,78.20757589985747,store18@adilabad.com,9466642613,2024-11-04 09:00:00,2024-11-04 21:00:00,[],489.3538310627837
19,1,2,19.467536294222775,78.2635950212035,store19@adilabad.com,9255041599,2024-11-04 09:00:00,2024-11-04 21:00:00,[],178.3576542445351
20,1,2,19.452831303280725,78.17367983814681,store20@adilabad.com,9930691383,2024-11-04 09:00:00,2024-11-04 21:00:00,[],219.96767429264287
21,1,3,23.881254631630327,91.22301856744517,store21@agartala.com,9862014906,2024-11-04 09:00:00,2024-11-04 21:00:00,[],165.2707664706366
22,1,3,23.825255493242047,91.25945700653776,store22@agartala.com,9873967195,2024-11-04 09:00:00,2024-11-04 21:00:00,[],254.27748639621
23,1,3,23.830013248082658,91.27253351995009,store23@agartala.com,9111912552,2024-11-04 09:00:00,2024-11-04 21:00:00,[],316.4154128813592
24,1,3,23.85804819144416,91.24241487019202,store24@agartala.com,9877429122,2024-11-04 09:00:00,2024-11-04 21:00:00,[],357.1660093281543
25,1,3,23.88426925972033,91.25641337618569,store25@agartala.com,9512112212,2024-11-04 09:00:00,2024-11-04 21:00:00,[],118.48574129379807
26,1,3,23.97711026763911,91.31696467850847,store26@agartala.com,9256525461,2024-11-04 09:00:00,2024-11-04 21:00:00,[],475.04633162537476
27,1,3,23.801201904667423,91.2602337558765,store27@agartala.com,9378355080,2024-11-04 09:00:00,2024-11-04 21:00:00,[],102.51199008724944
28,1,3,23.831248668261207,91.28054564422905,store28@agartala.com,9203357186,2024-11-04 09:00:00,2024-11-04 21:00:00,[],499.79060504893664
29,1,3,23.945300633595505,91.30403096732967,store29@agartala.com,9663092643,2024-11-04 09:00:00,2024-11-04 21:00:00,[],232.80815260195135
30,1,3,23.84211341073178,91.35245731678758,store30@agartala.com,9944563587,2024-11-04 09:00:00,2024-11-04 21:00:00,[],419.81252016107317
31,1,4,27.16734417818084,78.01698675855091,store31@agra.com,9389322843,2024-11-04 09:00:00,2024-11-04 21:00:00,[],400.9190383702242
32,1,4,27.258819527192482,78.01145680564086,store32@agra.com,9731891485,2024-11-04 09:00:00,2024-11-04 21:00:00,[],268.8023030285129
33,1,4,27.187109602226535,77.91457433019967,store33@agra.com,9425844167,2024-11-04 09:00:00,2024-11-04 21:00:00,[],309.2092275799975
34,1,4,27.11819540053101,77.97650658681717,store34@agra.com,9177114909,2024-11-04 09:00:00,2024-11-04 21:00:00,[],245.41394498264307
35,1,4,27.207804934347767,77.94528069905729,store35@agra.com,9365417388,2024-11-04 09:00:00,2024-11-04 21:00:00,[],305.09257469297677
36,1,4,27.290726468048703,78.00648000533117,store36@agra.com,9699193613,2024-11-04 09:00:00,2024-11-04 21:00:00,[],317.3080814567984
37,1,4,27.10767710205412,78.00396782683987,store37@agra.com,9143600537,2024-11-04 09:00:00,2024-11-04 21:00:00,[],219.52164197157106
38,1,4,27.20438003444683,77.96851485528286,store38@agra.com,9671786162,2024-11-04 09:00:00,2024-11-04 21:00:00,[],138.11117492889323
39,1,4,27.214856774093487,78.01161659642123,store39@agra.com,9923342153,2024-11-04 09:00:00,2024-11-04 21:00:00,[],381.17244401310677
40,1,4,27.18966791299127,78.00862620551109,store40@agra.com,9956570194,2024-11-04 09:00:00,2024-11-04 21:00:00,[],208.61637485690483
41,1,5,19.288267559271095,74.56292828403335,store41@ahmadnagar.com,9398284355,2024-11-04 09:00:00,2024-11-04 21:00:00,[],417.85927214287716
42,1,5,19.187970323121647,74.87193352196924,store42@ahmadnagar.com,9155021774,2024-11-04 09:00:00,2024-11-04 21:00:00,[],451.22022012331877
43,1,5,19.048548275943098,75.00638538643022,store43@ahmadnagar.com,9297057292,2024-11-04 09:00:00,2024-11-04 21:00:00,[],459.6216832514695
44,1,5,19.20092556337332,74.74428965407964,store44@ahmadnagar.com,9620809297,2024-11-04 09:00:00,2024-11-04 21:00:00,[],305.55592914664976
45,1,5,19.237858187162416,74.718130379996,store45@ahmadnagar.com,9712749533,2024-11-04 09:00:00,2024-11-04 21:00:00,[],317.8900800680358
46,1,5,19.107424306199896,74.74234052438877,store46@ahmadnagar.com,9723148362,2024-11-04 09:00:00,2024-11-04 21:00:00,[],476.50284433403357
47,1,5,19.120671695198656,74.71321755678194,store47@ahmadnagar.com,9981372831,2024-11-04 09:00:00,2024-11-04 21:00:00,[],460.7288697910897
48,1,5,19.242057264938236,74.80877630187327,store48@ahmadnagar.com,9769358034,2024-11-04 09:00:00,2024-11-04 21:00:00,[],487.9963039535963
49,1,5,19.301407402899425,74.65492733776725,store49@ahmadnagar.com,9171773034,2024-11-04 09:00:00,2024-11-04 21:00:00,[],360.40552391033714
50,1,5,19.040880266778952,74.87515843298186,store50@ahmadnagar.com,9159627983,2024-11-04 09:00:00,2024-11-04 21:00:00,[],102.96087095644499
51,1,6,23.03095802602804,72.64463149139539,store51@ahmedabad.com,9655369215,2024-11-04 09:00:00,2024-11-04 21:00:00,[],383.5331339427108
52,1,6,23.02548625368505,72.58721497207881,store52@ahmedabad.com,9950343867,2024-11-04 09:00:00,2024-11-04 21:00:00,[],343.5387912417135
53,1,6,23.09790971668651,72.47967648784544,store53@ahmedabad.com,9672811503,2024-11-04 09:00:00,2024-11-04 21:00:00,[],254.30079767437172
54,1,6,23.158720383675455,72.74248560191636,store54@ahmedabad.com,9211159682,2024-11-04 09:00:00,2024-11-04 21:00:00,[],495.562677390609
55,1,6,23.11364446970766,72.68005268313489,store55@ahmedabad.com,9652619505,2024-11-04 09:00:00,2024-11-04 21:00:00,[],311.39985939869496
56,1,6,23.05285059755599,72.54332147480768,store56@ahmedabad.com,9626615396,2024-11-04 09:00:00,2024-11-04 21:00:00,[],349.6154350345872
57,1,6,23.10414468005854,72.62131128444423,store57@ahmedabad.com,9100568650,2024-11-04 09:00:00,2024-11-04 21:00:00,[],402.92995344312385
58,1,6,23.058085959801037,72.58784707080419,store58@ahmedabad.com,9948855680,2024-11-04 09:00:00,2024-11-04 21:00:00,[],474.5474891313043
59,1,6,22.911037921314495,72.52569710533467,store59@ahmedabad.com,9533095843,2024-11-04 09:00:00,2024-11-04 21:00:00,[],328.4605170160536
60,1,6,23.12330165739974,72.5365777596674,store60@ahmedabad.com,9719991366,2024-11-04 09:00:00,2024-11-04 21:00:00,[],299.33171528497314
61,1,7,23.71292094636806,92.77864066286901,store61@aizawl  .com,9152514811,2024-11-04 09:00:00,2024-11-04 21:00:00,[],290.05556020577023
62,1,7,23.87915044947706,92.82567381464649,store62@aizawl  .com,9894722314,2024-11-04 09:00:00,2024-11-04 21:00:00,[],349.13452150584834
63,1,7,23.683763087514798,92.671540668777,store63@aizawl  .com,9312366764,2024-11-04 09:00:00,2024-11-04 21:00:00,[],131.90684572977034
64,1,7,23.728204053744708,92.68588514857834,store64@aizawl  .com,9578517224,2024-11-04 09:00:00,2024-11-04 21:00:00,[],244.31627960006966
65,1,7,23.76473667490677,92.65135807715637,store65@aizawl  .com,9485055206,2024-11-04 09:00:00,2024-11-04 21:00:00,[],238.2059285924042
66,1,7,23.71377030248033,92.68707185176333,store66@aizawl  .com,9653028196,2024-11-04 09:00:00,2024-11-04 21:00:00,[],232.79116661702014
67,1,7,23.591734343121527,92.68734527655137,store67@aizawl  .com,9213946671,2024-11-04 09:00:00,2024-11-04 21:00:00,[],240.62831708361648
68,1,7,23.809003251953445,92.75838106894453,store68@aizawl  .com,9516869934,2024-11-04 09:00:00,2024-11-04 21:00:00,[],214.5904365320672
69,1,7,23.66626843117068,92.6450616194674,store69@aizawl  .com,9691611319,2024-11-04 09:00:00,2024-11-04 21:00:00,[],402.113232658209
70,1,7,23.534529974777552,92.66468404444271,store70@aizawl  .com,9829302377,2024-11-04 09:00:00,2024-11-04 21:00:00,[],114.64320354978898
71,1,8,26.50538549253841,74.65802824495923,store71@ajmer.com,9536215328,2024-11-04 09:00:00,2024-11-04 21:00:00,[],395.7176211825541
72,1,8,26.475218740046657,74.62285648840249,store72@ajmer.com,9344438651,2024-11-04 09:00:00,2024-11-04 21:00:00,[],491.19198094980834
73,1,8,26.382771899761472,74.58070084995983,store73@ajmer.com,9066555844,2024-11-04 09:00:00,2024-11-04 21:00:00,[],434.0149534698714
74,1,8,26.46250404944695,74.68776713156784,store74@ajmer.com,9635282891,2024-11-04 09:00:00,2024-11-04 21:00:00,[],179.81661236957382
75,1,8,26.47079034628635,74.71075648825527,store75@ajmer.com,9233466527,2024-11-04 09:00:00,2024-11-04 21:00:00,[],234.00837089885079
76,1,8,26.41884944310208,74.51709490295978,store76@ajmer.com,9311442888,2024-11-04 09:00:00,2024-11-04 21:00:00,[],421.6531362403225
77,1,8,26.450480225656214,74.630097345673,store77@ajmer.com,9999947669,2024-11-04 09:00:00,2024-11-04 21:00:00,[],291.2133572701545
78,1,8,26.373152884693475,74.74111254507119,store78@ajmer.com,9016140965,2024-11-04 09:00:00,2024-11-04 21:00:00,[],428.61433668432244
79,1,8,26.43241075161914,74.59484663926398,store79@ajmer.com,9430970628,2024-11-04 09:00:00,2024-11-04 21:00:00,[],228.9447919737139
80,1,8,26.564639677129012,74.71501364862787,store80@ajmer.com,9725446095,2024-11-04 09:00:00,2024-11-04 21:00:00,[],268.4470393479123
