driver_id,name,latitude,longitude,city_id,vehicle_id,company_id,is_available,max_delivery_radius,pending_orders_count,availability_time
1,Driver_1,30.169537347090913,74.25409526423005,1,1,10,True,28.746487225748403,0,2024-11-04 08:00:00
2,Driver_2,29.972039736908677,73.98204725955507,1,2,1,True,28.746487225748403,0,2024-11-04 08:00:00
3,Driver_3,30.357076080294632,74.23353395430803,1,3,10,True,28.746487225748403,0,2024-11-04 08:00:00
4,Driver_4,30.24568091992646,74.40606823128019,1,4,1,True,28.746487225748403,0,2024-11-04 08:00:00
5,Driver_5,30.17438213445253,74.03357809261843,1,5,9,True,28.746487225748403,0,2024-11-04 08:00:00
6,Driver_6,30.144486684570825,74.19794755590269,1,6,1,True,28.746487225748403,0,2024-11-04 08:00:00
7,Driver_7,29.99308212264366,74.32365062051558,1,7,10,True,28.746487225748403,0,2024-11-04 08:00:00
8,Driver_8,30.050047390448196,74.35580064329667,1,8,9,True,28.746487225748403,0,2024-11-04 08:00:00
9,Driver_9,30.147226528287582,74.2037880908763,1,9,9,True,28.746487225748403,0,2024-11-04 08:00:00
10,Driver_10,29.893155150194964,74.26086149149434,1,10,9,True,28.746487225748403,0,2024-11-04 08:00:00
11,Driver_11,29.977371889788323,74.0248897835968,1,11,9,True,28.746487225748403,0,2024-11-04 08:00:00
12,Driver_12,30.29372376981932,74.11918329256852,1,12,10,True,28.746487225748403,0,2024-11-04 08:00:00
13,Driver_13,30.308003955528484,74.29834656481486,1,13,9,True,28.746487225748403,0,2024-11-04 08:00:00
14,Driver_14,30.152830639345364,74.19525921799537,1,14,10,True,28.746487225748403,0,2024-11-04 08:00:00
15,Driver_15,29.996482888754137,74.27141693549318,1,15,10,True,28.746487225748403,0,2024-11-04 08:00:00
16,Driver_16,30.184372480356664,74.18461885484582,1,16,10,True,28.746487225748403,0,2024-11-04 08:00:00
17,Driver_17,30.037489154009787,74.42134480170625,1,17,9,True,28.746487225748403,0,2024-11-04 08:00:00
18,Driver_18,30.12596575808009,74.21329609232642,1,18,1,True,28.746487225748403,0,2024-11-04 08:00:00
19,Driver_19,30.14877044926546,73.94930325784144,1,19,10,True,28.746487225748403,0,2024-11-04 08:00:00
20,Driver_20,30.180514027572958,74.2445796640389,1,20,10,True,28.746487225748403,0,2024-11-04 08:00:00
21,Driver_21,30.322542230758195,74.26468128578813,1,21,1,True,28.746487225748403,0,2024-11-04 08:00:00
22,Driver_22,29.97008458173218,74.25828531884947,1,22,9,True,28.746487225748403,0,2024-11-04 08:00:00
23,Driver_23,30.151174918388115,74.19720818986306,1,23,1,True,28.746487225748403,0,2024-11-04 08:00:00
24,Driver_24,30.106293112820904,73.91370979370122,1,24,9,True,28.746487225748403,0,2024-11-04 08:00:00
25,Driver_25,30.348318137411862,74.03794496255232,1,25,1,True,28.746487225748403,0,2024-11-04 08:00:00
26,Driver_26,30.14321807247371,74.19425696486361,1,26,1,True,28.746487225748403,0,2024-11-04 08:00:00
27,Driver_27,30.200728997134505,74.19008987324878,1,27,1,True,28.746487225748403,0,2024-11-04 08:00:00
28,Driver_28,30.154649051856794,74.22107161450768,1,28,10,True,28.746487225748403,0,2024-11-04 08:00:00
29,Driver_29,30.07566681169986,74.47640738949717,1,29,9,True,28.746487225748403,0,2024-11-04 08:00:00
30,Driver_30,30.17114399217104,74.04174026248234,1,30,1,True,28.746487225748403,0,2024-11-04 08:00:00
31,Driver_31,30.20637078784835,74.33352243806591,1,31,1,True,28.746487225748403,0,2024-11-04 08:00:00
32,Driver_32,30.303428821570623,74.29895372607193,1,32,10,True,28.746487225748403,0,2024-11-04 08:00:00
33,Driver_33,30.02500727329109,74.10461365578853,1,33,9,True,28.746487225748403,0,2024-11-04 08:00:00
34,Driver_34,30.293886702339897,74.24586667774952,1,34,10,True,28.746487225748403,0,2024-11-04 08:00:00
35,Driver_35,30.262239241505917,74.19778055506909,1,35,1,True,28.746487225748403,0,2024-11-04 08:00:00
36,Driver_36,30.13652929506521,74.22673141058824,1,36,1,True,28.746487225748403,0,2024-11-04 08:00:00
37,Driver_37,30.358461209265084,74.13611303876569,1,37,10,True,28.746487225748403,0,2024-11-04 08:00:00
38,Driver_38,30.075563038925804,74.06825373445015,1,38,9,True,28.746487225748403,0,2024-11-04 08:00:00
39,Driver_39,30.040579261959245,74.03796351143717,1,39,9,True,28.746487225748403,0,2024-11-04 08:00:00
40,Driver_40,29.950999048177938,74.0001690339781,1,40,9,True,28.746487225748403,0,2024-11-04 08:00:00
41,Driver_41,30.208543173902115,74.07368815965393,1,41,10,True,28.746487225748403,0,2024-11-04 08:00:00
