vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,7,564,AB-38-AB-6239,Diesel,In Use
2,Owner_2,Driver_2,3,827,AB-58-AB-7298,Diesel,Available
3,Owner_3,Driver_3,10,869,AB-13-AB-7125,Electric,Under Maintenance
4,Owner_4,Driver_4,4,310,AB-72-AB-3278,Electric,Under Maintenance
5,Owner_5,Driver_5,8,876,AB-79-AB-5861,Electric,In Use
6,Owner_6,Driver_6,6,982,AB-34-AB-3135,Diesel,In Use
7,Owner_7,Driver_7,1,656,AB-32-AB-1560,Diesel,Available
8,Owner_8,Driver_8,3,722,AB-20-AB-7887,Electric,Under Maintenance
9,Owner_9,Driver_9,10,853,AB-39-AB-5165,Diesel,Available
10,Owner_10,Driver_10,1,21,AB-43-AB-4733,Electric,Available
11,Owner_11,Driver_11,3,656,AB-15-AB-1950,Petrol,Available
12,Owner_12,Driver_12,7,95,AB-32-AB-6489,Diesel,Under Maintenance
13,Owner_13,Driver_13,3,934,AB-34-AB-9886,Diesel,In Use
14,Owner_14,Driver_14,1,42,AB-62-AB-9761,Petrol,Available
15,Owner_15,Driver_15,2,247,AB-22-AB-1747,Petrol,In Use
16,Owner_16,Driver_16,1,39,AB-16-AB-7484,Diesel,Available
17,Owner_17,Driver_17,7,149,AB-32-AB-3950,Electric,Available
18,Owner_18,Driver_18,6,698,AB-76-AB-2532,Petrol,Available
19,Owner_19,Driver_19,8,857,AB-84-AB-2016,Diesel,In Use
20,Owner_20,Driver_20,8,908,AB-43-AB-5422,Diesel,Under Maintenance
21,Owner_21,Driver_21,2,67,AB-16-AB-7158,Electric,Available
22,Owner_22,Driver_22,7,35,AB-14-AB-7613,Diesel,In Use
23,Owner_23,Driver_23,1,900,AB-45-AB-3084,Electric,In Use
24,Owner_24,Driver_24,10,54,AB-85-AB-6184,Diesel,Under Maintenance
25,Owner_25,Driver_25,3,507,AB-81-AB-9046,Diesel,Available
26,Owner_26,Driver_26,5,628,AB-10-AB-9498,Electric,Available
27,Owner_27,Driver_27,1,961,AB-56-AB-6581,Diesel,In Use
28,Owner_28,Driver_28,1,278,AB-23-AB-8442,Petrol,Under Maintenance
29,Owner_29,Driver_29,9,864,AB-40-AB-6303,Diesel,Available
30,Owner_30,Driver_30,3,6,AB-39-AB-7446,Diesel,In Use
31,Owner_31,Driver_31,8,782,AB-64-AB-1174,Electric,In Use
32,Owner_32,Driver_32,6,68,AB-25-AB-1020,Diesel,Available
33,Owner_33,Driver_33,2,320,AB-50-AB-7487,Electric,In Use
34,Owner_34,Driver_34,7,300,AB-34-AB-1863,Petrol,Under Maintenance
35,Owner_35,Driver_35,8,819,AB-26-AB-5487,Petrol,Available
36,Owner_36,Driver_36,10,615,AB-79-AB-8913,Diesel,In Use
37,Owner_37,Driver_37,2,89,AB-91-AB-2575,Diesel,In Use
38,Owner_38,Driver_38,3,640,AB-88-AB-5212,Diesel,Available
39,Owner_39,Driver_39,3,541,AB-82-AB-1480,Electric,In Use
40,Owner_40,Driver_40,5,667,AB-36-AB-5325,Petrol,Available
41,Owner_41,Driver_41,10,47,AB-32-AB-8428,Electric,Available
42,Owner_42,Driver_42,3,97,AB-49-AB-9139,Electric,In Use
43,Owner_43,Driver_43,1,384,AB-76-AB-7768,Electric,In Use
44,Owner_44,Driver_44,10,216,AB-54-AB-2243,Electric,In Use
45,Owner_45,Driver_45,1,896,AB-90-AB-8261,Petrol,Available
46,Owner_46,Driver_46,9,890,AB-89-AB-7820,Electric,In Use
47,Owner_47,Driver_47,8,516,AB-55-AB-4054,Diesel,Available
48,Owner_48,Driver_48,2,723,AB-49-AB-1598,Diesel,Under Maintenance
49,Owner_49,Driver_49,6,669,AB-22-AB-1293,Petrol,In Use
50,Owner_50,Driver_50,5,267,AB-95-AB-7723,Diesel,In Use
